mass,rt,
341.2142,8.5612487,
360.1282,8.5612487,
445.26193,8.5612487,
292.08542,8.5737028,
293.08594,8.5737028,
338.09064,8.5737028,
339.09201,8.5737028,
352.10629,8.5737028,
354.1033,8.5737028,
480.89731,8.5737028,
482.89404,8.5737028,
357.26367,8.5863236,
366.93881,8.5863236,
367.94199,8.5863236,
368.93594,8.5863236,
447.24091,8.5863236,
460.9252,8.5863236,
192.11053,8.5988924,
200.95389,8.5988924,
276.15945,8.5988924,
313.2377,8.5988924,
462.9231,8.5988924,
560.30688,8.5988924,
191.10716,8.6113466,
277.14349,8.6113466,
249.14877,8.623682,
255.58849,8.623682,
291.15936,8.623682,
255.19583,8.6359736,
256.19916,8.6359736,
311.22192,8.6359736,
373.04413,8.6359736,
359.22504,8.6484632,
374.04474,8.6484632,
375.25623,8.6484632,
402.21259,8.6484632,
512.18445,8.6484632,
632.23743,8.6484632,
224.02705,8.6611404,
354.20938,8.6611404,
359.12741,8.6611404,
511.18179,8.6611404,
213.18536,8.6735966,
223.02763,8.6735966,
297.0463,8.6735966,
298.0463,8.6735966,
312.13522,8.6735966,
315.05692,8.6735966,
351.03351,8.6735966,
182.15427,8.6861737,
214.18869,8.6861737,
284.22263,8.6861737,
311.13141,8.6861737,
353.17819,8.6861737,
241.18024,8.6986819,
255.08699,8.6986819,
380.2179,8.6986819,
